0x57	0x0057	#(W)LATIN CAPITAL LETTER W
0x58	0x0058	#(X)LATIN CAPITAL LETTER X
0x59	0x0059	#(Y)LATIN CAPITAL LETTER Y
0x5A	0x005A	#(Z)LATIN CAPITAL LETTER Z
0x5B	0x005B	#(bracketleft)LEFT SQUARE BRACKET
0x5C	0x005C	#(backslash)REVERSE SOLIDUS
0x5D	0x005D	#(bracketright)RIGHT SQUARE BRACKET
0x5E	0x005E	#(asciicircum)CIRCUMFLEX ACCENT
0x5F	0x005F	#(underscore)LOW LINE
0x60	0x2018	#(quoteleft)LEFT SINGLE QUOTATION MARK
0x61	0x0061	#(a)LATIN SMALL LETTER A
0x62	0x0062	#(b)LATIN SMALL LETTER B
0x63	0x0063	#(c)LATIN SMALL LETTER C
0x64	0x0064	#(d)LATIN SMALL LETTER D
0x65	0x0065	#(e)LATIN SMALL LETTER E
0x66	0x0066	#(f)LATIN SMALL LETTER F
0x67	0x0067	#(g)LATIN SMALL LETTER G
0x68	0x0068	#(h)LATIN SMALL LETTER H
0x69	0x0069	#(i)LATIN SMALL LETTER I
0x6A	0x006A	#(j)LATIN SMALL LETTER J
0x6B	0x006B	#(k)LATIN SMALL LETTER K
0x6C	0x006C	#(l)LATIN SMALL LETTER L
0x6D	0x006D	#(m)LATIN SMALL LETTER M
0x6E	0x006E	#(n)LATIN SMALL LETTER N
0x6F	0x006F	#(o)LATIN SMALL LETTER O
0x70	0x0070	#(p)LATIN SMALL LETTER P
0x71	0x0071	#(q)LATIN SMALL LETTER Q
0x72	0x0072	#(r)LATIN SMALL LETTER R
0x73	0x0073	#(s)LATIN SMALL LETTER S
0x74	0x0074	#(t)LATIN SMALL LETTER T
0x75	0x0075	#(u)LATIN SMALL LETTER U
0x76	0x0076	#(v)LATIN SMALL LETTER V
0x77	0x0077	#(w)LATIN SMALL LETTER W
0x78	0x0078	#(x)LATIN SMALL LETTER X
0x79	0x0079	#(y)LATIN SMALL LETTER Y
0x7A	0x007A	#(z)LATIN SMALL LETTER Z
0x7B	0x007B	#(braceleft)LEFT CURLY BRACKET
0x7C	0x007C	#(bar)VERTICAL LINE
0x7D	0x007D	#(braceright)RIGHT CURLY BRACKET
0x7E	0x007E	#(asciitilde)TILDE
0x7F	0x2010	#HYPHEN
0x80	0x00C0	#(Agrave)LATIN CAPITAL LETTER A WITH GRAVE
0x81	0x00C1	#(Aacute)LATIN CAPITAL LETTER A WITH ACUTE
0x82	0x00C3	#(Atilde)LATIN CAPITAL LETTER A WITH TILDE
0x83	0x1EA2	#LATIN CAPITAL LETTER A WITH HOOK ABOVE
0x84	0x1EA0	#LATIN CAPITAL LETTER A WITH DOT BELOW
0x85	0x00C2	#(Acircumflex)LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x86	0x1EA6	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
0x87	0x1EA4	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
0x88	0x1EAA	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
0x89	0x1EA8	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0x8A	0x1EAC	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x8B	0x0102	#(Abreve)LATIN CAPITAL LETTER A WITH BREVE
0x8C	0x1EB0	#LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
0x8D	0x1EAE	#LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
0x8E	0x1EB4	#LATIN CAPITAL LETTER A WITH BREVE AND TILDE
0x8F	0x1EB2	#LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
0x90	0x1EB6	#LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
0x91	0x00C8	#(Egrave)LATIN CAPITAL LETTER E WITH GRAVE
0x92	0x00C9	#(Eacute)LATIN CAPITAL LETTER E WITH ACUTE
0x93	0x1EBC	#LATIN CAPITAL LETTER E WITH TILDE
0x94	0x1EBA	#LATIN CAPITAL LETTER E WITH HOOK ABOVE
0x95	0x1EB8	#LATIN CAPITAL LETTER E WITH DOT BELOW
0x96	0x00CA	#(Ecircumflex)LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x97	0x1EC0	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
0x98	0x1EBE	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
0x99	0x1EC4	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
0x9A	0x1EC2	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0x9B	0x1EC6	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x9C	0x00CC	#(Igrave)LATIN CAPITAL LETTER I WITH GRAVE
0x9D	0x00CD	#(Iacute)LATIN CAPITAL LETTER I WITH ACUTE
0x9E	0x0128	#(Itilde)LATIN CAPITAL LETTER I WITH TILDE
0x9F	0x1EC8	#LATIN CAPITAL LETTER I WITH HOOK ABOVE
0xA0	0x00E0	#(agrave)LATIN SMALL LETTER A WITH GRAVE
0xA1	0x00E1	#(aacute)LATIN SMALL LETTER A WITH ACUTE
0xA2	0x00E3	#(atilde)LATIN SMALL LETTER A WITH TILDE
0xA3	0x1EA3	#LATIN SMALL LETTER A WITH HOOK ABOVE
0xA4	0x1EA1	#LATIN SMALL LETTER A WITH DOT BELOW
